Zip,Count
07078,45
07079,38
07080,36
07081,24
07082,5
07083,205
07086,126
07087,57
07090,44
07092,2
07093,126
07094,109
07095,41
07102,231
07103,43
07104,110
07105,68
07106,36
07107,13
07108,8
07109,63
07110,49
07111,49
07112,9
07201,1
07202,106
07203,14
07204,6
07205,12
07206,11
07208,36
07302,240
07304,182
07305,58
07306,852
07307,60
07310,100
07311,19
07401,6
07403,1
07405,17
07407,64
07410,47
07416,17
07417,9
07419,2
07420,2
07421,13
07422,8
07423,4
07424,33
07430,12
07435,3
07436,8
07438,8
07439,3
07440,3
07442,18
07446,13
07450,277
07452,22
07456,1
07457,21
07458,28
07461,2
07463,41
07470,109
07480,26
07481,20
07501,24
07502,12
07503,10
07504,25
07505,115
07506,49
07508,8
07512,11
07513,7
07514,4
07522,2
07524,11
07601,328
07603,7
07604,27
07605,6
07606,5
07607,40
07620,13
07621,50
07624,2
07626,6
07627,19
07628,29
07630,10
07631,130
07632,14
07641,3
07642,6
07643,13
07644,32
07645,14
07646,50
07647,1
07648,1
07649,4
07650,14
07652,72
07656,3
07657,30
07660,46
07661,8
07662,62
07663,11
07666,172
07670,42
07675,49
07676,7
07677,24
07701,18
07702,7
07704,2
07712,42
07716,11
07717,4
07719,36
07720,36
07721,10
07722,3
07724,6
07726,38
07727,9
07728,102
07730,61
07731,30
07732,1
07733,75
07734,15
07738,4
07740,10
07746,20
07747,98
07748,53
07751,36
07753,37
07755,20
07756,26
07758,1
07760,8
07762,7
07764,11
07801,3
07803,19
07821,1
07823,9
07825,1
07827,2
07828,11
07830,4
07834,31
07836,8
07838,2
07840,24
07842,8
07843,2
07848,5
07849,9
07853,5
07856,8
07857,1
07860,24
07863,18
07869,10
07871,26
07876,15
07880,1
07881,1
07901,21
07920,27
07921,14
07922,17
07924,1
07926,3
07927,7
07928,6
07930,3
07931,1
07932,19
07933,2
07934,19
07936,3
07940,8
07945,1
07950,22
07960,88
07974,18
07977,3
07981,13
08001,1
08002,30
08003,24
08004,3
08005,17
08009,3
08010,1
08012,38
08015,16
08016,4
08021,25
08026,1
08027,2
08028,7
08030,3
08031,10
08033,5
08034,38
08035,3
08036,1
08037,23
08041,1
08043,14
08045,1
08046,11
08050,9
08052,6
08053,16
08054,1090
08055,21
08056,3
08057,14
08059,20
08060,7
08061,1
08065,2
08066,2
08068,1
08071,9
08075,1
08077,5
08078,9
08079,2
08080,4
08081,15
08084,1
08085,34
08087,16
08088,6
08089,2
08090,2
08091,21
08092,1
08093,3
08094,13
08096,11
08098,7
08102,1
08103,15
08104,17
08106,4
08107,3
08108,4
08109,15
08110,18
08201,32
08203,1
08205,19
08210,17
08212,1
08221,1
08223,2
08225,7
08226,5
08230,2
08232,3
08234,36
08240,2
08244,10
08251,4
08260,3
08302,13
08318,5
08322,3
08330,14
08332,5
08345,1
08346,1
08353,1
08360,40
08401,152
08402,2
08406,1
08502,4
08505,11
08511,1
08512,14
08518,1
08520,34
08525,1
08527,588
08530,4
08534,2
08535,15
08536,74
08540,19
08542,42
08550,8
08551,1
08553,2
08554,2
08558,2
08562,1
08608,1
08609,20
08610,11
08611,3
08618,9
08619,4
08620,1
08628,7
08629,1
08641,1
08648,100
08690,37
08691,7
08701,56
08721,13
08722,108
08723,37
08724,17
08731,32
08733,4
08734,6
08736,10
08741,5
08742,19
08750,1
08751,1
08753,36
08755,20
08757,8
08758,33
08759,8
08801,29
08802,1
08805,4
08807,30
08809,2
08810,7
08812,10
08816,73
08817,138
08820,51
08822,37
08823,17
08824,5
08826,3
08828,2
08829,1
08830,86
08831,51
08832,1
08833,1
08835,8
08837,17
08840,37
08844,40
08846,26
08850,6
08852,6
08854,52
08857,81
08859,14
08861,31
08863,9
08865,14
08872,45
08873,55
08876,18
08879,12
08880,1
08882,10
08884,4
08890,1
08901,48
08902,91
08904,26
10001,958
10002,362
10003,1275
10004,13
10005,618
10006,174
10007,10660
10009,437
10010,6448
10011,1276
10012,924
10013,525
10014,453
10016,1610
10017,1171
10018,675
10019,1209
10021,660
10022,1680
10023,6411
10024,175
10025,489
10026,180
10027,193
10028,2188
10029,297
10030,157
10031,164
10032,287
10033,242
10034,59
10035,55
10036,1165
10037,71
10038,330
10039,95
10040,68
10044,42
10065,510
10069,90
10075,84
10128,531
10162,295
10280,60
10282,50
10301,37
10302,42
10303,15
10304,13
10305,51
10306,95
10307,15
10308,239
10309,117
10310,31
10312,77
10314,765
10451,34
10452,43
10453,66
10454,39
10455,33
10456,77
10457,85
10458,93
10459,26
10460,100
10461,220
10462,1639
10463,185
10464,6
10465,150
10466,53
10467,134
10468,97
10469,55
10470,35
10471,122
10472,78
10473,40
10474,17
10475,70
10501,1
10502,12
10504,6
10506,4
10507,1
10509,13
10510,2
10512,27
10514,16
10516,2
10518,2
10519,3
10520,6
10522,46
10523,26
10526,13
10528,14
10530,30
10533,14
10535,5
10536,1
10537,12
10538,16
10541,13
10543,33
10545,23
10547,14
10549,26
10550,111
10552,6
10553,11
10562,6
10566,23
10567,4
10570,8
10573,34
10576,1
10577,8
10579,9
10580,31
10583,112
10589,2
10591,51
10594,4
10595,23
10598,42
10601,292
10603,18
10604,17
10605,38
10606,29
10607,6
10701,61
10703,55
10704,89
10705,271
10706,35
10707,42
10708,37
10709,15
10710,66
10801,169
10803,31
10804,6
10805,6
10901,12
10913,1
10914,2
10916,2
10917,1
